"RI","Method","K"
0.726027397260274,"MAGMAclust",6
0.551181102362205,"MAGMAclust",6
0.795258620689655,"MAGMAclust",6
0.384039900249377,"MAGMAclust",6
0.467289719626168,"MAGMAclust",6
0.441340782122905,"MAGMAclust",6
0.74298275278999,"MAGMAclust",6
0.422993492407809,"MAGMAclust",6
0.649661954517517,"MAGMAclust",6
0.568378009995457,"MAGMAclust",6
0.661801352794589,"MAGMAclust",6
0.766728054020872,"MAGMAclust",6
0.663028649386085,"MAGMAclust",6
1,"MAGMAclust",6
0.846029173419773,"MAGMAclust",6
0.296296296296296,"MAGMAclust",6
0.694140373470702,"MAGMAclust",6
1,"MAGMAclust",6
0.341040462427746,"MAGMAclust",6
0.633558341369335,"MAGMAclust",6
0.425899280575539,"MAGMAclust",6
0.703433922996878,"MAGMAclust",6
0.786816269284712,"MAGMAclust",6
0.422199695894577,"MAGMAclust",6
0.846029173419773,"MAGMAclust",6
0.389460154241645,"MAGMAclust",6
0.940883634100809,"MAGMAclust",6
0.344827586206897,"MAGMAclust",6
0.571589627959414,"MAGMAclust",6
1,"MAGMAclust",6
0.692556634304207,"MAGMAclust",6
0.610921501706485,"MAGMAclust",6
0.505465903175429,"MAGMAclust",6
0.789356984478936,"MAGMAclust",6
0.344040828580006,"MAGMAclust",6
1,"MAGMAclust",6
0.555451567618156,"MAGMAclust",6
0.726027397260274,"MAGMAclust",6
0.537087168381159,"MAGMAclust",6
0.846029173419773,"MAGMAclust",6
0.841930116472546,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
0.715203426124197,"MAGMAclust",6
1,"MAGMAclust",6
0.643861293345829,"MAGMAclust",6
0.62962962962963,"MAGMAclust",6
1,"MAGMAclust",6
0.475552050473186,"MAGMAclust",6
0.571589627959414,"MAGMAclust",6
0.723032069970845,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
0.362909466082022,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
0.45480631276901,"MAGMAclust",6
0.448030987734022,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
1,"MAGMAclust",6
0.786516853932584,"MAGMAclust",6
0.576802507836991,"MAGMAclust",6
0.525079153474421,"MAGMAclust",6
1,"MAGMAclust",6
0.380020080321285,"MAGMAclust",6
0.636015325670498,"MAGMAclust",6
0.465992130410343,"MAGMAclust",6
0.528886684849988,"MAGMAclust",6
0.583941605839416,"MAGMAclust",6
1,"MAGMAclust",6
0.466292134831461,"MAGMAclust",6
0.62962962962963,"MAGMAclust",6
0.331133113311331,"MAGMAclust",6
0.483870967741935,"MAGMAclust",6
1,"MAGMAclust",6
0.315315315315315,"MAGMAclust",6
0.846029173419773,"MAGMAclust",6
1,"MAGMAclust",6
0.824777128804181,"MAGMAclust",6
0.792122538293217,"MAGMAclust",6
0.807399898631526,"MAGMAclust",6
0.314574314574315,"MAGMAclust",6
0.278663629460896,"MAGMAclust",6
1,"MAGMAclust",6
0.690822304187459,"MAGMAclust",6
0.608785175017159,"MAGMAclust",6
0.58963282937365,"MAGMAclust",6
0.768856447688564,"MAGMAclust",6
0.703433922996878,"MAGMAclust",6
0.612666485458005,"MAGMAclust",6
0.485845129059117,"MAGMAclust",6
0.595744680851064,"MAGMAclust",6
0.344827586206897,"MAGMAclust",6
0.801172038509837,"MAGMAclust",7
0.739010989010989,"MAGMAclust",7
0.339704604691573,"MAGMAclust",7
0.767299448867116,"MAGMAclust",7
0.911090313523631,"MAGMAclust",7
0.767299448867116,"MAGMAclust",7
0.655975168132437,"MAGMAclust",7
0.595744680851064,"MAGMAclust",7
0.228896103896104,"MAGMAclust",7
