"RI","Method"
0.290327091516977,"funFEM"
1,"MAGMAclust"
0.952842553706328,"kmeans + Bsplines"
0.330513106100961,"funHDDC"
0.338581998596526,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.599807967523627,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.739241053780371,"funHDDC"
0.739241053780371,"funFEM"
1,"MAGMAclust"
0.00103789496031233,"kmeans + Bsplines"
0.0114622446032324,"funHDDC"
0.0114622446032324,"funFEM"
1,"MAGMAclust"
0.61600705657654,"kmeans + Bsplines"
0.14557417128065,"funHDDC"
0.298114337024843,"funFEM"
1,"MAGMAclust"
0.793168947201801,"kmeans + Bsplines"
0.301967378097424,"funHDDC"
0.335833085194091,"funFEM"
0.521947386146765,"MAGMAclust"
1,"kmeans + Bsplines"
0.654912158718424,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.587456099555784,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.571957427117075,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.732746709330231,"kmeans + Bsplines"
0.250179870922478,"funHDDC"
0.353681716853367,"funFEM"
0.767409479566844,"MAGMAclust"
1,"kmeans + Bsplines"
0.633038082054419,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.677732933801308,"funHDDC"
0.644606313950586,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.644359981446319,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
