"RI","Method"
0.884784237816256,"kmeans + Bsplines"
0.618881748111185,"funHDDC"
0.832083414562823,"funFEM"
0.832083414562823,"MAGMAclust"
1,"kmeans + Bsplines"
0.940056945901394,"funHDDC"
0.93814201094699,"funFEM"
1,"MAGMAclust"
0.576077726595943,"kmeans + Bsplines"
0.549925848054215,"funHDDC"
0.891785770856941,"funFEM"
0.762156527141786,"MAGMAclust"
0.680939546516129,"kmeans + Bsplines"
0.518423850839413,"funHDDC"
0.0888468041176463,"funFEM"
0.705415544440169,"MAGMAclust"
0.602328576626961,"kmeans + Bsplines"
0.78788258756374,"funHDDC"
0.291884064079675,"funFEM"
0.553335097935416,"MAGMAclust"
0.494113703967489,"kmeans + Bsplines"
0.269877220169269,"funHDDC"
0.446648893297787,"funFEM"
1,"MAGMAclust"
0.762729099581144,"kmeans + Bsplines"
0.434098818408599,"funHDDC"
0.665481312466245,"funFEM"
0.873626273598359,"MAGMAclust"
0.932220143590112,"kmeans + Bsplines"
0.465160653935092,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.804938564695255,"kmeans + Bsplines"
0.656353249873904,"funHDDC"
0.445975117089521,"funFEM"
0.895460570856398,"MAGMAclust"
0.934636066662319,"kmeans + Bsplines"
1,"funHDDC"
0.467950789867076,"funFEM"
1,"MAGMAclust"
0.721076542923115,"kmeans + Bsplines"
0.878321981812097,"funHDDC"
0.488952323610808,"funFEM"
0.880113525151693,"MAGMAclust"
0.567148357539721,"kmeans + Bsplines"
0.403297872980173,"funHDDC"
0.431098825155494,"funFEM"
0.477216060750274,"MAGMAclust"
0.602644232935177,"kmeans + Bsplines"
0.65327648452767,"funHDDC"
0.543776711888536,"funFEM"
0.825976436166676,"MAGMAclust"
0.761898545427118,"kmeans + Bsplines"
0.554935486699917,"funHDDC"
0.0342663208003066,"funFEM"
0.750847817024425,"MAGMAclust"
0.787261192666231,"kmeans + Bsplines"
0.35606819403882,"funHDDC"
0.343902308392695,"funFEM"
0.936730973720188,"MAGMAclust"
0.940683890531515,"kmeans + Bsplines"
1,"funHDDC"
0.941203292615614,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.53752200060618,"funHDDC"
0.942123543944195,"funFEM"
1,"MAGMAclust"
0.876532463486595,"kmeans + Bsplines"
0.457893061497015,"funHDDC"
0.876697036153619,"funFEM"
0.936395511493095,"MAGMAclust"
0.822162896494604,"kmeans + Bsplines"
0.000793868889499486,"funHDDC"
0.000793868889499486,"funFEM"
1,"MAGMAclust"
0.942863720004393,"kmeans + Bsplines"
0.942863720004393,"funHDDC"
0.508707628121754,"funFEM"
0.942863720004393,"MAGMAclust"
1,"kmeans + Bsplines"
0.467754950034138,"funHDDC"
0.865479303252537,"funFEM"
1,"MAGMAclust"
0.934826856047536,"kmeans + Bsplines"
0.934826856047536,"funHDDC"
0.413559598473511,"funFEM"
0.72627279539965,"MAGMAclust"
0.884015344487407,"kmeans + Bsplines"
0.579134218964727,"funHDDC"
0.452493038546019,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.936480291351864,"kmeans + Bsplines"
0.936480291351864,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.500650518526429,"funHDDC"
0.477443820182077,"funFEM"
0.938307778942694,"MAGMAclust"
0.367781817347723,"kmeans + Bsplines"
0.0590388188847407,"funHDDC"
0.064399339686351,"funFEM"
0.783859379157941,"MAGMAclust"
1,"kmeans + Bsplines"
0.944100852709169,"funHDDC"
0.88417276939172,"funFEM"
1,"MAGMAclust"
0.497659457028085,"kmeans + Bsplines"
0.313470955038637,"funHDDC"
0.0604772553602733,"funFEM"
0.458677088871649,"MAGMAclust"
1,"kmeans + Bsplines"
0.587264150943396,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.9340931304418,"kmeans + Bsplines"
0.399417022237541,"funHDDC"
0.364730803487718,"funFEM"
1,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.88027536665669,"funHDDC"
0.93814201094699,"funFEM"
0.93814201094699,"MAGMAclust"
0.938307778942694,"kmeans + Bsplines"
0.778777043377759,"funHDDC"
0.444462602599249,"funFEM"
1,"MAGMAclust"
